model,test_dice,test_iou,test_hd95
U-Net,0.7102199488106341,0.6230374086852138,11.553934029536634
ResUNet,0.7430716527533161,0.6557665098762445,11.85262107631141
Attention U-Net,0.7359855443873644,0.6471729164168013,14.56073103988584
